video_path,start,end,label,clip_id
--4gqARaEJE_000001.mp4,0.0,8.0,"/m/068hy,/m/07q6cd_,/m/0bt9lr,/m/0jbk",--4gqARaEJE_000001
--BfvyPmVMo_000001.mp4,20.0,28.0,/m/03l9g,--BfvyPmVMo_000001
--U7joUcTCo_000001.mp4,0.0,8.0,/m/01b_21,--U7joUcTCo_000001
--i-y1v8Hy8_000001.mp4,0.0,8.0,"/m/04rlf,/m/09x0r,/t/dd00004,/t/dd00005",--i-y1v8Hy8_000001
-0BIyqJj9ZU_000001.mp4,30.0,38.0,"/m/07rgt08,/m/07sq110,/t/dd00001",-0BIyqJj9ZU_000001
-0CamVQdP_Y_000001.mp4,0.0,8.0,"/m/04rlf,/m/07pbtc8,/m/09x0r",-0CamVQdP_Y_000001
-0Gj8-vB1q4_000001.mp4,30.0,38.0,"/m/0140xf,/m/02cjck,/m/04rlf",-0Gj8-vB1q4_000001
-0RWZT-miFs_000001.mp4,420.0,428.0,"/m/03v3yw,/m/0k4j",-0RWZT-miFs_000001
-0YUDn-1yII_000001.mp4,30.0,38.0,"/m/02cjck,/m/04rlf",-0YUDn-1yII_000001
-0jeONf82dE_000001.mp4,21.0,29.0,"/m/03k3r,/m/04rlf,/m/07q5rw0,/m/09x0r,/m/0jbk",-0jeONf82dE_000001
-0nqfRcnAYE_000001.mp4,370.0,378.0,/m/04brg2,-0nqfRcnAYE_000001
-0p7hKXZ1ww_000001.mp4,30.0,38.0,"/g/122z_qxw,/m/09x0r",-0p7hKXZ1ww_000001
-0vPFx-wRRI_000001.mp4,30.0,38.0,"/m/025_jnm,/m/04rlf",-0vPFx-wRRI_000001
-0xzrMun0Rs_000001.mp4,30.0,38.0,"/m/01g90h,/m/04rlf",-0xzrMun0Rs_000001
-0yRK50zyTI_000001.mp4,30.0,38.0,"/m/07pzfmf,/m/09x0r",-0yRK50zyTI_000001
-116CjQ3MAg_000001.mp4,160.0,168.0,"/m/015p6,/m/0chx_,/t/dd00128",-116CjQ3MAg_000001
-1EXhfqLLwQ_000001.mp4,150.0,158.0,"/m/03dnzn,/m/068hy,/m/07p7b8y,/m/07ptzwd,/m/0838f,/m/0jbk,/t/dd00088",-1EXhfqLLwQ_000001
-1Hub6Ps_cc_000001.mp4,10.0,18.0,"/m/0130jx,/m/02jz0l,/m/09x0r,/m/0k65p,/t/dd00125",-1Hub6Ps_cc_000001
-1II0Di9Hkc_000001.mp4,30.0,38.0,"/m/04rlf,/m/06bz3",-1II0Di9Hkc_000001
-1LQP2wemiQ_000001.mp4,30.0,38.0,"/m/02fs_r,/m/02zsn,/m/09x0r",-1LQP2wemiQ_000001
-1OlgJWehn8_000001.mp4,30.0,38.0,"/m/04rlf,/m/06bz3",-1OlgJWehn8_000001
-1PZQg5Gi8A_000001.mp4,30.0,38.0,/m/07pjjrj,-1PZQg5Gi8A_000001
-1UWSisR2zo_000001.mp4,30.0,38.0,"/m/04rlf,/m/0xzly",-1UWSisR2zo_000001
-1hDIl9Udkw_000001.mp4,30.0,38.0,"/m/04rlf,/m/07qn4z3,/m/09x0r",-1hDIl9Udkw_000001
